distance,elevation
0,-2273.82836914063
1.01008102233782,-2273.8359375
2.02016204467564,-2273.92358398437
3.03024306701347,-2273.87622070313
4.04032408935129,-2273.83520507813
5.05040511168911,-2273.9091796875
6.06048613402693,-2274.0556640625
7.07056715636475,-2274.05053710937
8.08064817870257,-2273.92358398437
9.0907292010404,-2273.8134765625
10.1008102233782,-2273.90673828125
11.110891245716,-2273.775390625
12.1209722680539,-2273.642578125
13.1310532903917,-2273.615234375
14.1411343127295,-2273.72778320312
15.1512153350673,-2273.93725585938
16.1612963574051,-2274.2998046875
17.171377379743,-2274.48413085937
18.1814584020808,-2274.48291015625
19.1915394244186,-2274.5
20.2016204467564,-2274.412109375
21.2117014690943,-2274.224609375
22.2217824914321,-2274.02563476562
23.2318635137699,-2273.88012695312
24.2419445361077,-2273.83618164062
25.2520255584455,-2273.88134765625
26.2621065807834,-2273.83642578125
27.2721876031212,-2273.87573242187
28.282268625459,-2273.8974609375
29.2923496477968,-2273.87744140625
30.3024306701347,-2273.865234375
31.3125116924725,-2273.77856445313
32.3225927148103,-2273.97412109375
33.3326737371481,-2274.30102539062
34.3427547594859,-2274.38891601563
35.3528357818238,-2274.21069335937
36.3629168041616,-2274.01440429687
37.3729978264994,-2273.96411132812
38.3830788488372,-2273.84008789062
39.3931598711751,-2273.71118164062
40.4032408935129,-2273.62622070312
41.4133219158507,-2273.27807617187
42.4234029381885,-2273.26611328125
43.4334839605263,-2273.2978515625
44.4435649828642,-2273.25170898437
45.453646005202,-2273.18920898437
46.4637270275398,-2272.96826171875
47.4738080498776,-2272.71728515625
48.4838890722155,-2272.640625
49.4939700945533,-2272.70874023437
50.5040511168911,-2272.69970703125
51.5141321392289,-2272.6630859375
52.5242131615667,-2272.62475585937
53.5342941839046,-2272.67700195312
54.5443752062424,-2272.54858398437
55.5544562285802,-2272.56591796875
56.564537250918,-2272.61694335937
57.5746182732558,-2272.39477539062
58.5846992955937,-2272.09887695312
59.5947803179315,-2272.02124023438
60.6048613402693,-2271.9287109375
61.6149423626071,-2271.73803710938
62.625023384945,-2271.56420898437
63.6351044072828,-2271.51489257812
64.6451854296206,-2271.32397460938
65.6552664519584,-2271.0888671875
66.6653474742962,-2271.06591796875
67.6754284966341,-2271.17919921875
68.6855095189719,-2271.22436523437
69.6955905413097,-2271.22802734375
70.7056715636475,-2271.34106445312
71.7157525859853,-2271.337890625
72.7258336083232,-2271.34204101562
73.735914630661,-2271.3681640625
74.7459956529988,-2271.47998046875
75.7560766753366,-2271.69677734375
76.7661576976745,-2271.77392578125
77.7762387200123,-2271.919921875
78.7863197423501,-2271.95263671875
79.7964007646879,-2272.06616210937
80.8064817870257,-2271.91870117187
81.8165628093636,-2271.67407226562
82.8266438317014,-2271.57958984375
83.8367248540392,-2271.552734375
84.846805876377,-2271.52978515625
85.8568868987149,-2271.59326171875
86.8669679210527,-2271.69702148437
87.8770489433905,-2271.92456054687
88.8871299657283,-2272.19555664062
89.8972109880662,-2272.19653320312
90.907292010404,-2272.13842773437
91.9173730327418,-2271.88427734375
92.9274540550796,-2271.78271484375
93.9375350774174,-2271.77856445312
94.9476160997553,-2271.83178710938
95.9576971220931,-2271.85180664062
96.9677781444309,-2271.71704101562
97.9778591667687,-2271.69970703125
98.9879401891065,-2271.78955078125
99.9980212114444,-2271.94091796875
101.008102233782,-2271.93579101562
102.01818325612,-2271.8720703125
103.028264278458,-2271.85571289063
104.038345300796,-2271.86059570312
105.048426323133,-2271.91577148437
106.058507345471,-2272.19506835937
107.068588367809,-2272.42700195313
108.078669390147,-2272.28759765625
109.088750412485,-2272.16137695312
110.098831434823,-2272.140625
111.10891245716,-2271.99194335937
112.118993479498,-2271.98681640625
113.129074501836,-2272.0869140625
114.139155524174,-2272.36010742187
115.149236546512,-2272.7294921875
116.15931756885,-2272.822265625
117.169398591187,-2272.92431640625
118.179479613525,-2272.91552734375
119.189560635863,-2272.7109375
120.199641658201,-2272.44946289062
121.209722680539,-2272.40771484375
122.219803702876,-2272.71264648438
123.229884725214,-2272.80078125
124.239965747552,-2272.82275390625
125.25004676989,-2272.8291015625
126.260127792228,-2273.0693359375
127.270208814566,-2273.13159179687
128.280289836903,-2273.158203125
129.290370859241,-2273.23095703125
130.300451881579,-2273.185546875
131.310532903917,-2273.14306640625
132.320613926255,-2273.123046875
133.330694948592,-2273.07543945312
134.34077597093,-2273.171875
135.350856993268,-2273.41845703125
136.360938015606,-2273.40600585937
137.371019037944,-2273.814453125
138.381100060282,-2274.068359375
139.391181082619,-2274.158203125
140.401262104957,-2273.9169921875
141.411343127295,-2273.59057617187
142.421424149633,-2273.5263671875
143.431505171971,-2273.97583007812
144.441586194309,-2273.99096679687
145.451667216646,-2273.8623046875
146.461748238984,-2274.06323242187
147.471829261322,-2274.12866210937
148.48191028366,-2274.32446289062
149.491991305998,-2274.36791992187
150.502072328335,-2274.50659179688
151.512153350673,-2274.60986328125
152.522234373011,-2274.60546875
153.532315395349,-2274.81030273437
154.542396417687,-2275.17114257813
155.552477440025,-2275.23803710937
156.562558462362,-2275.56005859375
157.5726394847,-2275.60888671875
158.582720507038,-2275.30200195313
159.592801529376,-2275.32470703125
160.602882551714,-2275.18383789062
161.612963574051,-2275.078125
162.623044596389,-2275.0625
163.633125618727,-2275.1494140625
164.643206641065,-2275.32885742187
165.653287663403,-2275.6787109375
166.663368685741,-2275.97412109375
167.673449708078,-2275.89428710937
168.683530730416,-2275.93530273437
169.693611752754,-2276.18579101562
170.703692775092,-2276.12719726562
171.71377379743,-2276.21899414062
